template_id,file_path,branch,domain,area,difficulty,surface_model_heldout,blind_guess_floor,n_steps,n_milestone_candidates,has_instance_branching,answer_type,unit_system,values_bound,instrumentation_class,est_effort,n_inline_computed,pct_step_values_recoverable,pct_answer_values_recoverable,notes,regen_provenance,regen_inline_lenient,regen_milestone_proxy,regen_branching_base,regen_branch_evidence,regen_class_restated,regen_class_limb
template_primary_consolidation_settlement,data/templates/branches/civil_engineering/geotechnical_engineering/stress_distribution_and_consolidation.py,civil_engineering,civil,geotechnical_engineering,Advanced,,,9,14,no,scalar,SI,partial,A,medium,2,100,100,"Longest linear chain (9 steps, 10 milestones). 2 inline, both Hc/2 operand restatements, neither a step result.","REGENERATED=n_inline_computed,n_steps,pct_step,pct_answer;MEASURED-BUT-NOT-SUBSTITUTED=regen_milestone_proxy(scale +27% vs audit),regen_branching_base(over-reports; see regen_branch_evidence),regen_class_restated;INHERITED-NOT-REMEASURED=difficulty,est_effort,notes,answer_type,unit_system,values_bound,has_instance_branching,n_milestone_candidates,instrumentation_class",2,11,no,,A,A:residual
template_time_rate_of_consolidation,data/templates/branches/civil_engineering/geotechnical_engineering/stress_distribution_and_consolidation.py,civil_engineering,civil,geotechnical_engineering,Advanced,,,6,9,yes,scalar,SI,partial,B,high,3,89,100,drainage single/double AND U selects which Tv relation (parabolic vs logarithmic). ONLY template with a data-dependent format spec: t_prec = 3 if t_min/yr < 1.0 else 2.,"REGENERATED=n_inline_computed,n_steps,pct_step,pct_answer;MEASURED-BUT-NOT-SUBSTITUTED=regen_milestone_proxy(scale +27% vs audit),regen_branching_base(over-reports; see regen_branch_evidence),regen_class_restated;INHERITED-NOT-REMEASURED=difficulty,est_effort,notes,answer_type,unit_system,values_bound,has_instance_branching,n_milestone_candidates,instrumentation_class",3,10,yes,prose-only,B,B:instance-branching
template_beam_deflection_formula,data/templates/branches/civil_engineering/structural_analysis/deflections.py,civil_engineering,civil,structural_analysis,Easy,,,3/4,7,yes,scalar,dual,yes,B,high,3,100,100,"The ONLY dual-unit template outside mechanical. use_si changes unit system, step count AND the conversion sub-chain; load_case changes the formula. The only Answer line in the branch with no format spec, so trailing zeros drop.","REGENERATED=n_inline_computed,n_steps,pct_step,pct_answer;MEASURED-BUT-NOT-SUBSTITUTED=regen_milestone_proxy(scale +27% vs audit),regen_branching_base(over-reports; see regen_branch_evidence),regen_class_restated;INHERITED-NOT-REMEASURED=difficulty,est_effort,notes,answer_type,unit_system,values_bound,has_instance_branching,n_milestone_candidates,instrumentation_class",3,7,yes,step-count,B,B:instance-branching
template_cantilever_double_integration,data/templates/branches/civil_engineering/structural_analysis/deflections.py,civil_engineering,civil,structural_analysis,Intermediate,,,6,7,yes,scalar,SI,yes,D,high,0,100,100,"Steps 2-4 are purely symbolic integration with zero numeric results. BUG: delta keeps full precision, is printed at 5dp, and Step 6 computes delta_mm from the FULL-precision value - 198/4000 seeds (4.95%) print a Step-6 line whose own arithmetic does not reproduce. The sibling template 300 lines above documents and fixes exactly this.","REGENERATED=n_inline_computed,n_steps,pct_step,pct_answer;MEASURED-BUT-NOT-SUBSTITUTED=regen_milestone_proxy(scale +27% vs audit),regen_branching_base(over-reports; see regen_branch_evidence),regen_class_restated;INHERITED-NOT-REMEASURED=difficulty,est_effort,notes,answer_type,unit_system,values_bound,has_instance_branching,n_milestone_candidates,instrumentation_class",0,7,yes,prose-only,D,D:inherited-judgement
template_virtual_work_truss_deflection,data/templates/branches/civil_engineering/structural_analysis/deflections.py,civil_engineering,civil,structural_analysis,Intermediate,,,4,10,no,scalar,SI,partial,A,medium,2,100,100,2 inline mm-conversions. Step 3 tabulates two parallel terms - the only vector-shaped step in the branch.,"REGENERATED=n_inline_computed,n_steps,pct_step,pct_answer;MEASURED-BUT-NOT-SUBSTITUTED=regen_milestone_proxy(scale +27% vs audit),regen_branching_base(over-reports; see regen_branch_evidence),regen_class_restated;INHERITED-NOT-REMEASURED=difficulty,est_effort,notes,answer_type,unit_system,values_bound,has_instance_branching,n_milestone_candidates,instrumentation_class",2,9,no,,A,A:residual
template_beam_internal_moment,data/templates/branches/civil_engineering/structural_analysis/determinate_structures.py,civil_engineering,civil,structural_analysis,Easy,,,3,7,yes,scalar,SI,partial,B,medium,1,96,100,side left/right changes the moment equation. Step 2 is a pure narrative step.,"REGENERATED=n_inline_computed,n_steps,pct_step,pct_answer;MEASURED-BUT-NOT-SUBSTITUTED=regen_milestone_proxy(scale +27% vs audit),regen_branching_base(over-reports; see regen_branch_evidence),regen_class_restated;INHERITED-NOT-REMEASURED=difficulty,est_effort,notes,answer_type,unit_system,values_bound,has_instance_branching,n_milestone_candidates,instrumentation_class",1,7,yes,prose-only,B,B:instance-branching
template_beam_support_reactions,data/templates/branches/civil_engineering/structural_analysis/determinate_structures.py,civil_engineering,civil,structural_analysis,Easy,,,3,4,yes,scalar,SI,yes,B,low,0,100,100,uniform/triangular changes the resultant sub-chain and the question text. Already asserts an equilibrium invariant - exactly what a structured verifier would want.,"REGENERATED=n_inline_computed,n_steps,pct_step,pct_answer;MEASURED-BUT-NOT-SUBSTITUTED=regen_milestone_proxy(scale +27% vs audit),regen_branching_base(over-reports; see regen_branch_evidence),regen_class_restated;INHERITED-NOT-REMEASURED=difficulty,est_effort,notes,answer_type,unit_system,values_bound,has_instance_branching,n_milestone_candidates,instrumentation_class",0,4,yes,prose-only,B,B:instance-branching
template_truss_method_of_joints,data/templates/branches/civil_engineering/structural_analysis/determinate_structures.py,civil_engineering,civil,structural_analysis,Easy,,,3,4,no,scalar,SI,yes,A,low,1,100,100,Assert on a quantity never printed (theta_deg). Step 3 mixes narrative sense-justification with the numeric result.,"REGENERATED=n_inline_computed,n_steps,pct_step,pct_answer;MEASURED-BUT-NOT-SUBSTITUTED=regen_milestone_proxy(scale +27% vs audit),regen_branching_base(over-reports; see regen_branch_evidence),regen_class_restated;INHERITED-NOT-REMEASURED=difficulty,est_effort,notes,answer_type,unit_system,values_bound,has_instance_branching,n_milestone_candidates,instrumentation_class",1,5,no,,A,A:residual
template_truss_method_of_sections,data/templates/branches/civil_engineering/structural_analysis/determinate_structures.py,civil_engineering,civil,structural_analysis,Intermediate,,,3,5,yes,scalar,SI,partial,B,medium,7,85,100,member AC/BD/BC selects three different equilibrium routes; the BC branch adds a step-internal length computation. Answer carries a tension/compression sense tag alongside the scalar.,"REGENERATED=n_inline_computed,n_steps,pct_step,pct_answer;MEASURED-BUT-NOT-SUBSTITUTED=regen_milestone_proxy(scale +27% vs audit),regen_branching_base(over-reports; see regen_branch_evidence),regen_class_restated;INHERITED-NOT-REMEASURED=difficulty,est_effort,notes,answer_type,unit_system,values_bound,has_instance_branching,n_milestone_candidates,instrumentation_class",7,4,yes,prose-only,B,B:instance-branching
template_force_method_continuous_beam,data/templates/branches/civil_engineering/structural_analysis/indeterminate_analysis.py,civil_engineering,civil,structural_analysis,Advanced,,,5,6,yes,scalar,SI,partial,C,high,10,80,100,"SYMBOLIC UNIT in the milestone chain: d_B0 and d_BB are printed as ""{:.1f}/EI (kN*m^3 over EI)"". A dimensional checker cannot validate either in isolation - only their ratio is meaningful, and only because EI cancels. 10 inline (all L restatements).","REGENERATED=n_inline_computed,n_steps,pct_step,pct_answer;MEASURED-BUT-NOT-SUBSTITUTED=regen_milestone_proxy(scale +27% vs audit),regen_branching_base(over-reports; see regen_branch_evidence),regen_class_restated;INHERITED-NOT-REMEASURED=difficulty,est_effort,notes,answer_type,unit_system,values_bound,has_instance_branching,n_milestone_candidates,instrumentation_class",10,7,yes,prose-only,B,B:instance-branching
template_slope_deflection_end_moment,data/templates/branches/civil_engineering/structural_analysis/indeterminate_analysis.py,civil_engineering,civil,structural_analysis,Advanced,,,4,11,no,scalar,SI,yes,A,medium,0,91,100,Densest milestone-per-step ratio (8 results in 4 steps). X = EI*theta_B is an auxiliary quantity in kN*m^2 that is not a physical answer.,"REGENERATED=n_inline_computed,n_steps,pct_step,pct_answer;MEASURED-BUT-NOT-SUBSTITUTED=regen_milestone_proxy(scale +27% vs audit),regen_branching_base(over-reports; see regen_branch_evidence),regen_class_restated;INHERITED-NOT-REMEASURED=difficulty,est_effort,notes,answer_type,unit_system,values_bound,has_instance_branching,n_milestone_candidates,instrumentation_class",0,12,no,,A,A:residual
template_influence_line_max_reaction,data/templates/branches/civil_engineering/structural_analysis/influence_lines.py,civil_engineering,civil,structural_analysis,Intermediate,,,4,5,no,scalar,SI,yes,A,low,0,75,100,Steps 1-2 narrative; Step 3 reports a hard-coded y=1.0000 definitional ordinate.,"REGENERATED=n_inline_computed,n_steps,pct_step,pct_answer;MEASURED-BUT-NOT-SUBSTITUTED=regen_milestone_proxy(scale +27% vs audit),regen_branching_base(over-reports; see regen_branch_evidence),regen_class_restated;INHERITED-NOT-REMEASURED=difficulty,est_effort,notes,answer_type,unit_system,values_bound,has_instance_branching,n_milestone_candidates,instrumentation_class",0,5,yes,prose-only,B,B:instance-branching
template_critical_depth_froude_classification,data/templates/branches/civil_engineering/water_resources/energy_and_rapidly_varied_flow.py,civil_engineering,civil,water_resources,Easy,,,4,5,yes,classification,SI,yes,C,medium,0,100,100,"regime choice flips the Step-4 conclusion and the assert direction. Step 4 has NO numeric result - it is the classification, and it is the pedagogical payload.","REGENERATED=n_inline_computed,n_steps,pct_step,pct_answer;MEASURED-BUT-NOT-SUBSTITUTED=regen_milestone_proxy(scale +27% vs audit),regen_branching_base(over-reports; see regen_branch_evidence),regen_class_restated;INHERITED-NOT-REMEASURED=difficulty,est_effort,notes,answer_type,unit_system,values_bound,has_instance_branching,n_milestone_candidates,instrumentation_class",0,5,yes,prose-only,C,C:answer_type
template_hydraulic_jump_energy_loss,data/templates/branches/civil_engineering/water_resources/energy_and_rapidly_varied_flow.py,civil_engineering,civil,water_resources,Intermediate,,,4,4,yes,scalar,SI,yes,B,high,0,100,100,"known upstream/downstream selects the forward vs conjugate Belanger form AND flips display precision (y1/y2 swap between 2dp and 4dp) - the same symbol prints at different precision by branch, so a fixed per-symbol tolerance would be wrong.","REGENERATED=n_inline_computed,n_steps,pct_step,pct_answer;MEASURED-BUT-NOT-SUBSTITUTED=regen_milestone_proxy(scale +27% vs audit),regen_branching_base(over-reports; see regen_branch_evidence),regen_class_restated;INHERITED-NOT-REMEASURED=difficulty,est_effort,notes,answer_type,unit_system,values_bound,has_instance_branching,n_milestone_candidates,instrumentation_class",0,4,yes,prose-only,B,B:instance-branching
template_max_hump_height_no_choking,data/templates/branches/civil_engineering/water_resources/energy_and_rapidly_varied_flow.py,civil_engineering,civil,water_resources,Intermediate,,,4,5,no,scalar,SI,yes,A,medium,0,100,100,"CATASTROPHIC CANCELLATION: dz_max = E1 - Ec is a small difference of near-equal energies, so 1% relative tolerance on dz_max implies ~0.05% on E1 - tighter than E1 own printed precision. Per-milestone tolerance must come from the chain, not the symbol.","REGENERATED=n_inline_computed,n_steps,pct_step,pct_answer;MEASURED-BUT-NOT-SUBSTITUTED=regen_milestone_proxy(scale +27% vs audit),regen_branching_base(over-reports; see regen_branch_evidence),regen_class_restated;INHERITED-NOT-REMEASURED=difficulty,est_effort,notes,answer_type,unit_system,values_bound,has_instance_branching,n_milestone_candidates,instrumentation_class",0,5,no,,A,A:residual
template_linear_reservoir_routing_step,data/templates/branches/civil_engineering/water_resources/hydrology.py,civil_engineering,civil,water_resources,Advanced,,,7,10,no,scalar,SI,yes,B,medium,0,100,100,The only template with a REPEATED SUB-CHAIN: Steps 3-4 and 5-6 are the same two operations on successive intervals - a genuine loop unrolled into the trace. Steps 1-2 are symbolic algebra; Step 7 is a narrative plausibility check.,"REGENERATED=n_inline_computed,n_steps,pct_step,pct_answer;MEASURED-BUT-NOT-SUBSTITUTED=regen_milestone_proxy(scale +27% vs audit),regen_branching_base(over-reports; see regen_branch_evidence),regen_class_restated;INHERITED-NOT-REMEASURED=difficulty,est_effort,notes,answer_type,unit_system,values_bound,has_instance_branching,n_milestone_candidates,instrumentation_class",0,14,no,,A,A:residual
template_rational_method_peak_flow,data/templates/branches/civil_engineering/water_resources/hydrology.py,civil_engineering,civil,water_resources,Easy,,,3,3,yes,scalar,SI,yes,B,medium,0,67,100,"single/composite adds an area-weighted step and renumbers. Lowest milestone density in the branch: in the single branch, Steps 2 and 3 are one milestone split across two markers.","REGENERATED=n_inline_computed,n_steps,pct_step,pct_answer;MEASURED-BUT-NOT-SUBSTITUTED=regen_milestone_proxy(scale +27% vs audit),regen_branching_base(over-reports; see regen_branch_evidence),regen_class_restated;INHERITED-NOT-REMEASURED=difficulty,est_effort,notes,answer_type,unit_system,values_bound,has_instance_branching,n_milestone_candidates,instrumentation_class",0,5,yes,prose-only,B,B:instance-branching
template_scs_curve_number_runoff,data/templates/branches/civil_engineering/water_resources/hydrology.py,civil_engineering,civil,water_resources,Intermediate,,,5,6,no,scalar,dual,yes,B,medium,0,100,100,"Dual BY NECESSITY: question and answer in mm but the TR-55 equation is inch-bound, so the mm/in conversions are load-bearing reasoning steps. Step 3 is a validity-precondition check reporting a number AND a boolean.","REGENERATED=n_inline_computed,n_steps,pct_step,pct_answer;MEASURED-BUT-NOT-SUBSTITUTED=regen_milestone_proxy(scale +27% vs audit),regen_branching_base(over-reports; see regen_branch_evidence),regen_class_restated;INHERITED-NOT-REMEASURED=difficulty,est_effort,notes,answer_type,unit_system,values_bound,has_instance_branching,n_milestone_candidates,instrumentation_class",0,6,yes,prose-only,B,B:instance-branching
template_best_hydraulic_rectangular_section,data/templates/branches/civil_engineering/water_resources/uniform_flow.py,civil_engineering,civil,water_resources,Intermediate,,,4,6,no,scalar,SI,yes,B,medium,1,100,100,Step 2 is an algebraic-collection step. Step 4 is a back-check whose assert tolerates 1.5% - the gold trace is internally inconsistent at the 1.5% level BY DESIGN.,"REGENERATED=n_inline_computed,n_steps,pct_step,pct_answer;MEASURED-BUT-NOT-SUBSTITUTED=regen_milestone_proxy(scale +27% vs audit),regen_branching_base(over-reports; see regen_branch_evidence),regen_class_restated;INHERITED-NOT-REMEASURED=difficulty,est_effort,notes,answer_type,unit_system,values_bound,has_instance_branching,n_milestone_candidates,instrumentation_class",1,7,no,,A,A:residual
template_manning_rectangular_discharge,data/templates/branches/civil_engineering/water_resources/uniform_flow.py,civil_engineering,civil,water_resources,Easy,,,4,7,no,scalar,SI,yes,A,low,1,100,100,"S and n printed BARE (raw float repr), not with a fixed-width format.","REGENERATED=n_inline_computed,n_steps,pct_step,pct_answer;MEASURED-BUT-NOT-SUBSTITUTED=regen_milestone_proxy(scale +27% vs audit),regen_branching_base(over-reports; see regen_branch_evidence),regen_class_restated;INHERITED-NOT-REMEASURED=difficulty,est_effort,notes,answer_type,unit_system,values_bound,has_instance_branching,n_milestone_candidates,instrumentation_class",1,8,yes,prose-only,B,B:instance-branching
template_manning_trapezoidal_velocity,data/templates/branches/civil_engineering/water_resources/uniform_flow.py,civil_engineering,civil,water_resources,Easy,,,4,9,no,scalar,SI,yes,A,medium,1,100,100,"Step 4 (Q=V*A) is a REDUNDANT CONFIRMATION step whose result is not the answer - a verifier must know it is optional, not a milestone on the answer path.","REGENERATED=n_inline_computed,n_steps,pct_step,pct_answer;MEASURED-BUT-NOT-SUBSTITUTED=regen_milestone_proxy(scale +27% vs audit),regen_branching_base(over-reports; see regen_branch_evidence),regen_class_restated;INHERITED-NOT-REMEASURED=difficulty,est_effort,notes,answer_type,unit_system,values_bound,has_instance_branching,n_milestone_candidates,instrumentation_class",1,8,yes,prose-only,B,B:instance-branching
template_normal_depth_iteration,data/templates/branches/civil_engineering/water_resources/uniform_flow.py,civil_engineering,civil,water_resources,Advanced,,,4,11,yes,array,SI,partial,D,high,1,100,100,"THE iteration case: a secant solve inside the trace. n_steps is a constant 4 but Step 3 holds 8-28 quantities; y_curr/g_curr are REBOUND every pass so there is no stable {id, symbol} for ""the third trial depth"". Needs a list-of-iterations representation, not a list-of-steps.","REGENERATED=n_inline_computed,n_steps,pct_step,pct_answer;MEASURED-BUT-NOT-SUBSTITUTED=regen_milestone_proxy(scale +27% vs audit),regen_branching_base(over-reports; see regen_branch_evidence),regen_class_restated;INHERITED-NOT-REMEASURED=difficulty,est_effort,notes,answer_type,unit_system,values_bound,has_instance_branching,n_milestone_candidates,instrumentation_class",1,12,yes,line-count,D,D:inherited-judgement
template_autocorrelation_rect_pulse,data/templates/branches/electrical_engineering/digital_communications/deterministic_and_random_signal_analysis.py,electrical_engineering,electrical,digital_communications,Intermediate,,,4,7,no,symbolic,dimensionless,partial,C,high,4,80,90,"Answer is a piecewise function R_g(tau)=A^2(T-|tau|) for |tau|<=T, 0 otherwise. Only 57% of answer-line numbers are recoverable from bound locals - the rest are prose.","REGENERATED=n_inline_computed,n_steps,pct_step,pct_answer;MEASURED-BUT-NOT-SUBSTITUTED=regen_milestone_proxy(scale +27% vs audit),regen_branching_base(over-reports; see regen_branch_evidence),regen_class_restated;INHERITED-NOT-REMEASURED=difficulty,est_effort,notes,answer_type,unit_system,values_bound,has_instance_branching,n_milestone_candidates,instrumentation_class",4,12,no,,C,C:answer_type
template_ft_esd_rect_pulse,data/templates/branches/electrical_engineering/digital_communications/deterministic_and_random_signal_analysis.py,electrical_engineering,electrical,digital_communications,Intermediate,,,4,7,no,symbolic,dimensionless,yes,C,medium,0,100,100,Answer is two unevaluated functions of f (A*T*sinc(T*f) and (AT)^2*sinc^2(T*f)); the only numbers are scale factors.,"REGENERATED=n_inline_computed,n_steps,pct_step,pct_answer;MEASURED-BUT-NOT-SUBSTITUTED=regen_milestone_proxy(scale +27% vs audit),regen_branching_base(over-reports; see regen_branch_evidence),regen_class_restated;INHERITED-NOT-REMEASURED=difficulty,est_effort,notes,answer_type,unit_system,values_bound,has_instance_branching,n_milestone_candidates,instrumentation_class",0,13,yes,prose-only,C,C:answer_type
template_lowpass_equivalent_bandpass,data/templates/branches/electrical_engineering/digital_communications/deterministic_and_random_signal_analysis.py,electrical_engineering,electrical,digital_communications,Advanced,,,4,7,no,multipart,dimensionless,yes,C,medium,4,100,100,"Answer is a complex number written 29.5 + j*51.1. Phase restricted to 30-150 deg so g_Q>0; a negative g_Q would print ""+ j*-x"".","REGENERATED=n_inline_computed,n_steps,pct_step,pct_answer;MEASURED-BUT-NOT-SUBSTITUTED=regen_milestone_proxy(scale +27% vs audit),regen_branching_base(over-reports; see regen_branch_evidence),regen_class_restated;INHERITED-NOT-REMEASURED=difficulty,est_effort,notes,answer_type,unit_system,values_bound,has_instance_branching,n_milestone_candidates,instrumentation_class",4,11,no,,C,C:answer_type
template_mean_variance,data/templates/branches/electrical_engineering/digital_communications/deterministic_and_random_signal_analysis.py,electrical_engineering,electrical,digital_communications,Easy,,,2,8,no,multipart,dimensionless,no,D,high,6,100,100,"Every per-term intermediate is built inside a list comprehension inside an f-string; 9-15 printed numbers with no Python variable. Probabilities printed at 3dp but computed at full precision, so the printed mean does not recompute.","REGENERATED=n_inline_computed,n_steps,pct_step,pct_answer;MEASURED-BUT-NOT-SUBSTITUTED=regen_milestone_proxy(scale +27% vs audit),regen_branching_base(over-reports; see regen_branch_evidence),regen_class_restated;INHERITED-NOT-REMEASURED=difficulty,est_effort,notes,answer_type,unit_system,values_bound,has_instance_branching,n_milestone_candidates,instrumentation_class",6,7,yes,prose-only,D,D:inherited-judgement
template_signal_energy_power,data/templates/branches/electrical_engineering/digital_communications/deterministic_and_random_signal_analysis.py,electrical_engineering,electrical,digital_communications,Easy,,,4,4,yes,multipart,SI,partial,C,high,16,87,97,3 different governing integrals by signal_type. 16 inline {amplitude**2}/{2*alpha} - these ARE the step results and are never bound.,"REGENERATED=n_inline_computed,n_steps,pct_step,pct_answer;MEASURED-BUT-NOT-SUBSTITUTED=regen_milestone_proxy(scale +27% vs audit),regen_branching_base(over-reports; see regen_branch_evidence),regen_class_restated;INHERITED-NOT-REMEASURED=difficulty,est_effort,notes,answer_type,unit_system,values_bound,has_instance_branching,n_milestone_candidates,instrumentation_class",16,7,yes,line-count,C,C:answer_type
template_average_energy_mqam,data/templates/branches/electrical_engineering/digital_communications/digital_modulation_schemes.py,electrical_engineering,electrical,digital_communications,Intermediate,,,4,8,yes,scalar,dimensionless,partial,B,medium,1,92,100,"M in {4,16,64,256} selects 4 different Step2/Step3 texts; Steps 2-3 are narrative for M=64/256.","REGENERATED=n_inline_computed,n_steps,pct_step,pct_answer;MEASURED-BUT-NOT-SUBSTITUTED=regen_milestone_proxy(scale +27% vs audit),regen_branching_base(over-reports; see regen_branch_evidence),regen_class_restated;INHERITED-NOT-REMEASURED=difficulty,est_effort,notes,answer_type,unit_system,values_bound,has_instance_branching,n_milestone_candidates,instrumentation_class",1,9,yes,line-count,B,B:instance-branching
template_ber_estimation_mary,data/templates/branches/electrical_engineering/digital_communications/digital_modulation_schemes.py,electrical_engineering,electrical,digital_communications,Advanced,,,4,3,yes,symbolic,dimensionless,yes,C,high,9,100,100,"THE symbolic case: gold answer is ""BER approx 0.50 * Q(8.07)"" - no numeric value, no unit. Also precision=random.randint(1,2), so the same quantity prints at 2 or 3 decimals by seed.","REGENERATED=n_inline_computed,n_steps,pct_step,pct_answer;MEASURED-BUT-NOT-SUBSTITUTED=regen_milestone_proxy(scale +27% vs audit),regen_branching_base(over-reports; see regen_branch_evidence),regen_class_restated;INHERITED-NOT-REMEASURED=difficulty,est_effort,notes,answer_type,unit_system,values_bound,has_instance_branching,n_milestone_candidates,instrumentation_class",9,6,yes,line-count,C,C:answer_type
template_bpsk_energy_basis,data/templates/branches/electrical_engineering/digital_communications/digital_modulation_schemes.py,electrical_engineering,electrical,digital_communications,Easy,,,3,6,no,multipart,SI,yes,C,medium,0,100,100,Answer b) embeds a prefixed unit INSIDE the expression: psi_1(t)=16.24*cos(2*pi*1.98 kHz*t). Hand-rolled SI-prefix formatter means the unit is instance-dependent (nJ/uJ/mJ).,"REGENERATED=n_inline_computed,n_steps,pct_step,pct_answer;MEASURED-BUT-NOT-SUBSTITUTED=regen_milestone_proxy(scale +27% vs audit),regen_branching_base(over-reports; see regen_branch_evidence),regen_class_restated;INHERITED-NOT-REMEASURED=difficulty,est_effort,notes,answer_type,unit_system,values_bound,has_instance_branching,n_milestone_candidates,instrumentation_class",0,13,yes,prose-only,C,C:answer_type
template_euclidean_distance_binary,data/templates/branches/electrical_engineering/digital_communications/digital_modulation_schemes.py,electrical_engineering,electrical,digital_communications,Intermediate,,,2,6,yes,multipart,SI,yes,C,high,0,92,89,"BUG: BFSK branch emits ""**Step 2: **"" (space inside the bold) so a strict **Step N:** parser sees 1 step in ~50% of instances. Constellation dimensionality changes with the branch.","REGENERATED=n_inline_computed,n_steps,pct_step,pct_answer;MEASURED-BUT-NOT-SUBSTITUTED=regen_milestone_proxy(scale +27% vs audit),regen_branching_base(over-reports; see regen_branch_evidence),regen_class_restated;INHERITED-NOT-REMEASURED=difficulty,est_effort,notes,answer_type,unit_system,values_bound,has_instance_branching,n_milestone_candidates,instrumentation_class",0,13,yes,prose-only,C,C:answer_type
template_null_to_null_bandwidth,data/templates/branches/electrical_engineering/digital_communications/digital_modulation_schemes.py,electrical_engineering,electrical,digital_communications,Advanced,,,3,6,yes,scalar,SI,yes,B,medium,0,100,100,3 modulation pools x 3 rate-unit choices; the answer unit (kHz/MHz/GHz) is instance-dependent.,"REGENERATED=n_inline_computed,n_steps,pct_step,pct_answer;MEASURED-BUT-NOT-SUBSTITUTED=regen_milestone_proxy(scale +27% vs audit),regen_branching_base(over-reports; see regen_branch_evidence),regen_class_restated;INHERITED-NOT-REMEASURED=difficulty,est_effort,notes,answer_type,unit_system,values_bound,has_instance_branching,n_milestone_candidates,instrumentation_class",0,7,yes,prose-only,B,B:instance-branching
template_coaxial_capacitance,data/templates/branches/electrical_engineering/electromagnetics_and_waves/electrostatics.py,electrical_engineering,electrical,electromagnetics_and_waves,Advanced,,,4,9,no,multipart,SI,partial,B,medium,3,79,91,Steps 1-3 are a symbolic derivation with zero numbers; all arithmetic is in Step 4.,"REGENERATED=n_inline_computed,n_steps,pct_step,pct_answer;MEASURED-BUT-NOT-SUBSTITUTED=regen_milestone_proxy(scale +27% vs audit),regen_branching_base(over-reports; see regen_branch_evidence),regen_class_restated;INHERITED-NOT-REMEASURED=difficulty,est_effort,notes,answer_type,unit_system,values_bound,has_instance_branching,n_milestone_candidates,instrumentation_class",3,16,no,,C,C:answer_type
template_coulombs_law,data/templates/branches/electrical_engineering/electromagnetics_and_waves/electrostatics.py,electrical_engineering,electrical,electromagnetics_and_waves,Easy,,,3,8,no,vector,SI,partial,C,high,10,90,99,"3-component force. 7 inline including the Coulomb constant and R_mag**3. numpy repr gives irregular whitespace ([-8 -10]); Answer format <x,y,z> differs from question format [x y z].","REGENERATED=n_inline_computed,n_steps,pct_step,pct_answer;MEASURED-BUT-NOT-SUBSTITUTED=regen_milestone_proxy(scale +27% vs audit),regen_branching_base(over-reports; see regen_branch_evidence),regen_class_restated;INHERITED-NOT-REMEASURED=difficulty,est_effort,notes,answer_type,unit_system,values_bound,has_instance_branching,n_milestone_candidates,instrumentation_class",10,15,yes,prose-only,C,C:answer_type
template_gauss_law_symmetric,data/templates/branches/electrical_engineering/electromagnetics_and_waves/electrostatics.py,electrical_engineering,electrical,electromagnetics_and_waves,Intermediate,,,4,6,yes,vector,SI,yes,C,high,0,93,87,line vs sheet changes geometry AND which vector component is non-zero (x vs z). Steps 1-2 purely narrative.,"REGENERATED=n_inline_computed,n_steps,pct_step,pct_answer;MEASURED-BUT-NOT-SUBSTITUTED=regen_milestone_proxy(scale +27% vs audit),regen_branching_base(over-reports; see regen_branch_evidence),regen_class_restated;INHERITED-NOT-REMEASURED=difficulty,est_effort,notes,answer_type,unit_system,values_bound,has_instance_branching,n_milestone_candidates,instrumentation_class",0,18,yes,prose-only,C,C:answer_type
template_superposition_electric_field,data/templates/branches/electrical_engineering/electromagnetics_and_waves/electrostatics.py,electrical_engineering,electrical,electromagnetics_and_waves,Intermediate,,,3/4,8,yes,vector,SI,partial,C,high,17,67,97,"num_charges in {2,3} changes BOTH step count and quantity count; step numbers generated in a loop. Per-charge E vectors printed but E_vec is rebound each iteration - no stable symbol.","REGENERATED=n_inline_computed,n_steps,pct_step,pct_answer;MEASURED-BUT-NOT-SUBSTITUTED=regen_milestone_proxy(scale +27% vs audit),regen_branching_base(over-reports; see regen_branch_evidence),regen_class_restated;INHERITED-NOT-REMEASURED=difficulty,est_effort,notes,answer_type,unit_system,values_bound,has_instance_branching,n_milestone_candidates,instrumentation_class",17,17,yes,step-count,C,C:answer_type
template_lorentz_force,data/templates/branches/electrical_engineering/electromagnetics_and_waves/magnetostatics.py,electrical_engineering,electrical,electromagnetics_and_waves,Easy,,,4,9,no,vector,SI,yes,C,high,16,99,100,THE cross-product case. All 11 scalars bound. Same quantity printed at two precisions in one step (1.8296 then 1.83).,"REGENERATED=n_inline_computed,n_steps,pct_step,pct_answer;MEASURED-BUT-NOT-SUBSTITUTED=regen_milestone_proxy(scale +27% vs audit),regen_branching_base(over-reports; see regen_branch_evidence),regen_class_restated;INHERITED-NOT-REMEASURED=difficulty,est_effort,notes,answer_type,unit_system,values_bound,has_instance_branching,n_milestone_candidates,instrumentation_class",12,14,yes,prose-only,C,C:answer_type
